#   Isochrone  Z = 0.02124   Y = 0.28667   [M/H] = 0.171   eta_R = 0.200   Age =    1.2589e+07 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.021238   7.1000   12.31028080   12.3013   4.3057   4.3976   3.7645   -5.994   -4.780   -3.789   -3.546   -3.430   -3.279   -2.934   -2.824   -2.733   3.33484530   1
   0.021238   7.1000   12.59938717   12.5808   4.3511   4.3958   3.7218   -6.108   -4.905   -3.914   -3.672   -3.557   -3.406   -3.062   -2.952   -2.861   3.33493066   1
   0.021238   7.1000   12.89426613   12.8648   4.3970   4.3929   3.6740   -6.222   -5.036   -4.047   -3.806   -3.691   -3.541   -3.198   -3.090   -2.999   3.33501101   1
   0.021238   7.1000   13.22318554   13.1802   4.4480   4.3880   3.6138   -6.350   -5.189   -4.203   -3.963   -3.850   -3.702   -3.361   -3.254   -3.163   3.33509398   1
   0.021238   7.1000   13.52055359   13.4639   4.4952   4.3809   3.5475   -6.468   -5.341   -4.361   -4.123   -4.012   -3.866   -3.529   -3.422   -3.333   3.33516312   1
   0.021238   7.1000   13.76948357   13.6968   4.5348   4.3730   3.4840   -6.567   -5.476   -4.503   -4.269   -4.159   -4.015   -3.682   -3.577   -3.489   3.33521700   1
   0.021238   7.1000   14.00000000   13.9071   4.5712   4.3642   3.4189   -6.658   -5.609   -4.643   -4.412   -4.305   -4.164   -3.835   -3.732   -3.645   3.33526421   0
   0.021238   7.1000   14.07565212   13.9766   4.5823   4.3613   3.3983   -6.686   -5.650   -4.686   -4.457   -4.351   -4.211   -3.883   -3.780   -3.695   3.33527923   0
   0.021238   7.1000   14.22972488   14.0964   4.6054   4.3528   3.3450   -6.743   -5.745   -4.790   -4.564   -4.460   -4.322   -3.999   -3.898   -3.814   3.33530879   0
   0.021238   7.1000   14.37814903   14.2078   4.6278   4.3442   3.2915   -6.800   -5.839   -4.893   -4.670   -4.569   -4.433   -4.114   -4.015   -3.932   3.33533621   0
   0.021238   7.1000   14.58912182   14.3564   4.6615   4.3349   3.2253   -6.884   -5.964   -5.028   -4.808   -4.709   -4.576   -4.262   -4.166   -4.084   3.33537364   0
